id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_cuaca_ekstrem,satuan,tahun
279,32,JAWA BARAT,3209,KABUPATEN CIREBON,11,KEJADIAN,2022
280,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,18,KEJADIAN,2022
281,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3,KEJADIAN,2022
282,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,6,KEJADIAN,2022
283,32,JAWA BARAT,3213,KABUPATEN SUBANG,28,KEJADIAN,2022
284,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,7,KEJADIAN,2022
285,32,JAWA BARAT,3215,KABUPATEN KARAWANG,34,KEJADIAN,2022
286,32,JAWA BARAT,3216,KABUPATEN BEKASI,7,KEJADIAN,2022
287,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,17,KEJADIAN,2022
288,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5,KEJADIAN,2022
289,32,JAWA BARAT,3271,KOTA BOGOR,11,KEJADIAN,2022
290,32,JAWA BARAT,3272,KOTA SUKABUMI,13,KEJADIAN,2022
291,32,JAWA BARAT,3273,KOTA BANDUNG,2,KEJADIAN,2022
292,32,JAWA BARAT,3274,KOTA CIREBON,3,KEJADIAN,2022
293,32,JAWA BARAT,3275,KOTA BEKASI,3,KEJADIAN,2022
294,32,JAWA BARAT,3276,KOTA DEPOK,5,KEJADIAN,2022
295,32,JAWA BARAT,3277,KOTA CIMAHI,5,KEJADIAN,2022
296,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12,KEJADIAN,2022
297,32,JAWA BARAT,3279,KOTA BANJAR,4,KEJADIAN,2022
298,32,JAWA BARAT,3201,KABUPATEN BOGOR,191,KEJADIAN,2023
299,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,66,KEJADIAN,2023
300,32,JAWA BARAT,3203,KABUPATEN CIANJUR,9,KEJADIAN,2023
301,32,JAWA BARAT,3204,KABUPATEN BANDUNG,28,KEJADIAN,2023
302,32,JAWA BARAT,3205,KABUPATEN GARUT,12,KEJADIAN,2023
303,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5,KEJADIAN,2023
304,32,JAWA BARAT,3207,KABUPATEN CIAMIS,17,KEJADIAN,2023
305,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,13,KEJADIAN,2023
306,32,JAWA BARAT,3209,KABUPATEN CIREBON,9,KEJADIAN,2023
307,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,11,KEJADIAN,2023
308,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,9,KEJADIAN,2023
309,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,13,KEJADIAN,2023
310,32,JAWA BARAT,3213,KABUPATEN SUBANG,14,KEJADIAN,2023
311,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,13,KEJADIAN,2023
312,32,JAWA BARAT,3215,KABUPATEN KARAWANG,40,KEJADIAN,2023
313,32,JAWA BARAT,3216,KABUPATEN BEKASI,10,KEJADIAN,2023
314,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,28,KEJADIAN,2023
315,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,17,KEJADIAN,2023
316,32,JAWA BARAT,3271,KOTA BOGOR,52,KEJADIAN,2023
317,32,JAWA BARAT,3272,KOTA SUKABUMI,9,KEJADIAN,2023
318,32,JAWA BARAT,3273,KOTA BANDUNG,5,KEJADIAN,2023
319,32,JAWA BARAT,3274,KOTA CIREBON,1,KEJADIAN,2023
320,32,JAWA BARAT,3275,KOTA BEKASI,4,KEJADIAN,2023
321,32,JAWA BARAT,3276,KOTA DEPOK,4,KEJADIAN,2023
322,32,JAWA BARAT,3277,KOTA CIMAHI,10,KEJADIAN,2023
323,32,JAWA BARAT,3278,KOTA TASIKMALAYA,30,KEJADIAN,2023
